"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"117","Scan_0113","WT/WT","WT","M",4,23090.9268507164,8929.0126953125,33493.96875,14909439.4690019,2733,0.590327978134155,63107503.0830078,5.87166287988519,-4.91678231660148,-8.75809891793917,NA,"kidney (right)","WT-M"
"118","Scan_0113","WT/WT","WT","M",5,17228.5015808562,1815.41345214844,31670.201171875,53895151.6548801,7093,1.53208804130554,122201761.713013,3.99259720962978,-5.64201809349884,-8.39301259344024,NA,"stomach","WT-M"
"119","Scan_0113","WT/WT","WT","M",6,30962.5094029533,2739.13598632812,60745.6640625,24369725.8765099,83606,18.058895111084,2588651561.14331,5.39798313069387,-6.62399678208892,-7.99829177590736,NA,"liver","WT-M"
"120","Scan_0113","WT/WT","WT","M",7,29972.7215708624,14079.564453125,38039.94140625,16015043.3827211,341,0.0736560001969337,10220698.0556641,4.48628359573679,-5.37756731326977,-9.16817846057701,NA,"adrenal (left)","WT-M"
"121","Scan_0113","WT/WT","WT","M",8,30026.5365541388,15556.181640625,42634.58984375,23871956.2368815,299,0.0645840018987656,8977934.4296875,5.72829930793482,-5.47311689692595,-9.34160346474536,NA,"adrenal (right)","WT-M"
"122","Scan_0113","WT/WT","WT","M",9,21594.4239521086,11100.931640625,30398.48046875,11053596.4433167,638,0.137807995080948,13777242.4814453,5.24878839905357,-4.17571070491705,-6.67624904405362,NA,"rectum","WT-M"
"123","Scan_0113","WT/WT","WT","M",10,18834.8657595371,6762.74169921875,29194.837890625,20803615.2652862,1880,0.406080007553101,35409547.6279297,5.34070669425802,-5.2744349428948,-6.77215790152044,NA,"bladder","WT-M"
"124","Scan_0113","WT/WT","WT","M",11,20380.4647875428,1236.62219238281,37215.49609375,31811322.8608802,6991,1.51005601882935,142479829.329712,5.12185020399852,-8.59257281468757,-7.84532211112755,NA,"heart","WT-M"
"125","Scan_0113","WT/WT","WT","M",12,24487.3020090766,13720.1640625,28800.3359375,4191169.15137449,377,0.0814319998025894,9231712.85742188,5.0320751123403,-9.87584091953003,-8.51526278892938,NA,"thymus (left)","WT-M"
"126","Scan_0113","WT/WT","WT","M",13,24913.7492705922,16000.1484375,29398.119140625,3167937.04625841,324,0.069983996450901,8072054.76367188,5.59119290387189,-9.95522887512487,-8.43940415841563,NA,"thymus (right)","WT-M"
